Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",203197,224385,302193,391549,407435,451082,600684,754436,679348,731326,906083,882879,863291,896290,836560,854377,937519,930775,911474
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",383183,433749,505353,609031,629109,639037,729416,848305,706931,841482,956260,1012686,910828,914988,842996,800549,865577,940130,908064
'83,Miscellaneous articles of base metal,298454,348210,407051,502613,543847,611860,804285,831191,793984,801540,912608,839091,974238,938022,880301,883740,950131,984372,875593
'23,Residues and waste from the food industries; prepared animal fodder,135433,182640,228540,224571,249830,308354,504759,569355,521039,575065,563143,655046,711243,724573,643276,682367,717728,821420,858997
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",315476,338719,426086,468473,505499,580213,635060,562798,573151,674197,743786,825021,881023,975401,787458,830381,843092,853727,819441
'96,Miscellaneous manufactured articles,205453,218741,248068,294265,292140,297638,324916,354160,325663,363018,377803,618737,641298,661080,651370,646671,678082,740430,816828
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",232516,244503,303352,349414,364804,399865,457933,531023,495873,583614,663848,731199,738223,788966,736203,696231,750334,801243,782639
'24,Tobacco and manufactured tobacco substitutes,115836,159206,170430,123752,142969,180317,190357,163119,225718,241537,285805,320470,460729,638656,724013,764549,768898,793820,777153
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",177507,204151,277730,325367,342942,367580,452343,511151,439640,597525,583052,617047,629972,757060,707150,744704,773011,834479,773998
'08,Edible fruit and nuts; peel of citrus fruit or melons,164380,188024,244749,313474,368124,392187,454216,537543,496351,574858,700587,705478,739049,867418,815294,811608,841779,782725,757192
'74,Copper and articles thereof,195214,201273,256154,212456,260303,425189,691122,883761,694334,1156210,1144859,1382853,1192522,1283187,1060130,824284,778339,865795,755834
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",308621,310932,366670,411902,434181,476096,529209,621620,510171,600972,648448,635715,619692,626272,667691,735892,772493,822565,745012
'69,Ceramic products,337968,400794,501674,568644,545670,559218,639151,690826,569007,662774,650717,644444,669232,771568,755334,769870,787954,823405,744654
'70,Glass and glassware,345101,360167,413179,490651,498220,513200,605203,703769,687115,707237,639669,655131,691864,742037,736325,763397,775102,798121,738473
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",655216,459266,527218,632750,913042,957223,1037605,1772558,1231639,1195981,1479554,1765986,1339411,1350213,1263970,1179782,1664945,948411,726620
'89,"Ships, boats and floating structures",217856,399462,211978,383204,553922,1010666,801269,1195764,943524,907285,2118265,2268026,1078643,1758750,694174,663103,6862905,500034,707074
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",193582,203960,246079,265869,314944,341163,411840,557760,523351,616555,687149,748385,781013,772101,664738,668419,777287,774114,700508
'18,Cocoa and cocoa preparations,143840,172724,221344,263901,287686,292904,381456,476150,495969,562577,629327,589420,627061,705124,724266,684436,729842,691891,677265
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",559802,585875,686756,780826,782686,821883,937711,1011423,876105,972077,987981,1017208,905748,908694,809427,748312,755769,731889,663066
'09,"Coffee, tea, mat� and spices",124841,136212,168249,185392,229160,245148,307571,359266,363540,424343,584969,625155,613074,672901,672018,644139,694210,663199,635252
'02,Meat and edible meat offal,80145,107461,140380,199007,268285,276164,389846,401920,438556,493253,488534,537566,497003,541924,493518,459928,517661,496167,611365
'91,Clocks and watches and parts thereof,186700,184094,185113,233789,257078,272303,310255,343570,343146,355554,422564,462378,513950,552222,648954,528961,510324,532441,546576
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,165517,205941,261900,310066,318060,406792,502181,581508,515756,551725,607610,609894,552977,585112,529081,559162,574444,598560,537434
'26,"Ores, slag and ash",122798,138440,191389,191532,264030,442049,546821,524924,410746,747300,852016,679888,401422,487223,526136,671158,871199,901393,477967
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",144779,164062,190786,226282,252926,247825,300761,740405,266882,375150,400415,428348,396118,458376,424862,379367,376735,433955,406738
'57,Carpets and other textile floor coverings,108390,128993,167361,206091,223738,234361,287807,304263,276224,347011,389053,437358,465837,440641,429029,431712,432386,428395,380446
'93,Arms and ammunition; parts and accessories thereof,110353,190122,243042,318375,336374,322332,287238,529628,322330,377523,623056,424701,427290,477871,331784,444188,356173,328611,376284
'10,Cereals,27315,28326,93187,50448,61834,63716,91229,186805,200173,194488,171091,155032,171008,196086,163148,149437,156246,186439,344237
'17,Sugars and sugar confectionery,69848,80218,104386,127137,142311,146116,189469,192138,221107,282471,367928,344210,343667,356538,319044,301903,293703,295958,292399
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",71244,79098,121327,126903,135616,134257,166706,165081,154767,174633,189575,206254,216769,249269,247874,244552,289971,291351,283815
'35,Albuminoidal substances; modified starches; glues; enzymes,104256,112884,137924,153860,155095,171451,203204,233451,227238,265645,291491,290135,300605,263501,255555,242975,253846,286387,274408
'07,Edible vegetables and certain roots and tubers,91436,104096,137089,158372,177204,186186,242666,244288,209453,250866,282646,272212,261553,265027,235575,251036,259737,238135,233044
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",127770,135309,157695,165763,167383,179614,185595,204281,182046,205367,214260,204310,211002,227724,230116,217735,242160,242656,232116
'65,Headgear and parts thereof,63685,71904,80446,100804,114033,113608,139081,145195,123789,145271,158658,177317,186690,199773,209415,204264,208091,218871,218241
'54,Man-made filaments; strip and the like of man-made textile materials,197935,221799,250457,255992,241001,254953,286878,292708,240820,215908,223236,200507,221502,247092,249689,231136,240399,221090,205426
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",79150,80392,91984,105921,104970,115607,132254,143707,141602,165279,175979,167964,176506,184367,175364,178218,190585,197041,192582
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,142126,154357,170333,197321,203957,207916,266369,303558,163642,190427,186596,150373,173575,194027,175044,157625,178610,214074,179845
'97,"Works of art, collectors' pieces and antiques",54598,57717,64796,89344,125478,133536,158854,169142,89114,130100,151430,136538,151212,169792,163793,152827,154289,149060,166633
'92,Musical instruments; parts and accessories of such articles,63082,73594,92544,111903,123232,131059,158725,148401,136938,141189,160747,151769,152224,140357,132107,136344,139672,144690,156651
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,36399,47054,74603,81021,99688,80611,81371,112901,101104,107361,136411,141379,143313,134683,141055,136365,142891,142629,145608
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,16505,22193,33449,39933,42160,38078,63589,95604,81521,68962,77914,85809,100201,97256,92892,91530,109751,124489,137100
'13,"Lac; gums, resins and other vegetable saps and extracts",37970,42234,48623,52501,51346,56846,61830,70024,69910,74179,84862,136140,97997,95806,97864,86288,95602,120427,109313
'81,Other base metals; cermets; articles thereof,45657,42689,52404,58776,82479,98472,105740,127045,75597,78729,96369,103429,84456,87490,74097,69292,85701,108308,102776
'01,Live animals,37477,50389,58188,54289,79744,101490,97235,128592,87538,116874,115111,103499,97307,99157,76145,91393,116947,126507,100241
