Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",170374,170631,243624,311725,278249,289925,425757,1546386,468786,722954,1099166,1089640,983680,929198,831914,576069,621119,791165,676307
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",256219,221586,184660,231868,270353,317609,460246,580006,436006,659696,893728,930100,888166,848479,690206,497317,623342,646511,670012
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",217431,186115,187293,213932,247466,312700,403276,433129,451940,667777,819026,940182,1047915,961584,823564,643049,721108,725882,660117
'08,Edible fruit and nuts; peel of citrus fruit or melons,172325,130620,117940,152352,219451,287824,333873,403816,423859,562602,766945,793007,789523,868038,675235,701820,684901,651402,613961
'95,"Toys, games and sports requisites; parts and accessories thereof",78879,63116,53468,93764,128935,201502,334137,419302,362175,527241,724025,779620,807662,737903,653010,382183,483293,547002,568322
'70,Glass and glassware,204052,154642,194685,235380,248804,277399,361060,551626,407829,611572,782638,812605,863331,790269,521727,390449,443068,518167,563637
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",114660,99095,76808,90726,148310,184334,242596,330173,323290,476079,501216,478799,654226,652600,513910,544655,566077,529916,548634
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",145324,140548,153343,198522,199702,223000,288426,383773,330822,426228,562671,554632,640186,627757,522664,462197,494506,541179,525414
'07,Edible vegetables and certain roots and tubers,189529,142968,148735,180322,196596,187957,252614,460026,307036,620812,614748,635485,797505,491982,504753,859767,570390,396079,514599
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",183045,256701,119713,95991,137588,170876,172499,231590,273148,347573,623001,647670,605772,457914,428017,660861,569988,503768,477447
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",123008,113399,114959,144879,172356,200065,259084,311110,245336,361052,493884,579827,637159,595999,465787,377761,429887,440183,459150
'35,Albuminoidal substances; modified starches; glues; enzymes,116127,110561,104689,119628,132947,152240,189977,250750,239714,312011,377801,422507,455294,497868,467441,402785,456270,456646,457351
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",52814,53610,45189,51023,87855,132879,178400,277194,274857,390346,552573,557977,586796,600360,483909,329640,425796,446015,454305
'64,"Footwear, gaiters and the like; parts of such articles",56593,50082,54013,72171,122384,149167,222270,326585,323241,368966,492887,613723,656353,635974,538545,384787,380973,395353,404392
'21,Miscellaneous edible preparations,92463,90443,77093,93068,108549,143657,175160,230540,243585,295424,360334,397659,463626,467785,418084,351276,373697,388646,391951
'60,Knitted or crocheted fabrics,39766,15907,8829,16243,29489,70009,255253,268806,338518,522912,447497,482885,448278,554230,366893,280816,343099,344121,374222
'96,Miscellaneous manufactured articles,91652,76393,72350,86978,95700,116441,152173,212851,193777,273671,337365,394202,405506,408713,351435,262195,320414,352660,344241
'18,Cocoa and cocoa preparations,61146,123292,140025,85827,114098,130095,212186,215262,273887,277840,258985,390984,231200,323650,260442,349002,347674,370889,320029
'23,Residues and waste from the food industries; prepared animal fodder,85960,123873,124141,120754,125007,135202,166832,209494,167882,198101,225544,243245,273748,283394,285608,258984,277786,295831,288971
'02,Meat and edible meat offal,69979,80615,72413,83922,98099,84937,118775,154093,151019,210410,292905,348151,348740,476778,331033,304243,334366,306298,283925
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",101326,96464,107709,126660,134610,154743,205134,257140,205155,282151,303229,304794,320597,316741,274856,241571,271724,287626,276860
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",73516,61369,55846,63195,83735,115717,147471,186584,141581,219577,257107,253173,224836,238082,219149,198312,245493,261052,274157
'05,"Products of animal origin, not elsewhere specified or included",42303,39453,44250,59076,64421,72973,103851,163777,154907,147083,175260,165661,161037,178316,164515,150002,187652,250505,259493
'12,"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ...",181785,223530,274357,128417,127960,75545,107282,147978,153026,180643,176434,331275,316340,456655,282474,295306,277449,266289,254550
'69,Ceramic products,65057,53796,58734,74077,103459,106875,161033,234742,212939,361938,558353,558978,579810,445839,361785,196985,215980,259848,253053
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,24690,18887,16040,24376,32578,51849,91859,144730,106974,164296,233208,241278,248525,279268,230016,152257,205603,256969,243201
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",39595,53692,81175,82747,95254,94326,51120,69388,76176,103451,143404,195441,283783,278811,244285,217556,224241,235479,219410
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",95084,94400,39236,148832,221198,280157,220407,523985,260029,1108848,934904,736874,574264,874547,953533,445929,275772,167622,203993
'47,Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ...,183013,171660,158669,194695,210353,212805,232385,274297,241685,360087,374380,339185,336674,347252,338712,281802,181913,181704,191477
'75,Nickel and articles thereof,83434,97808,148389,198890,162666,146638,250502,166217,69840,108211,140822,111873,102546,101835,97839,91021,102503,140177,187916
