Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'48,"Paper and paperboard; articles of paper pulp, of paper or of paperboard",365862,451924,507105,583497,555870,566355,623633,630593,540103,762989,913801,827916,899571,898319,773286,743188,802488,873083,780442
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,243615,257387,286127,335757,327524,350951,466238,681583,614579,649980,661639,705894,746269,703525,611740,544300,599152,671213,723562
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",330551,365326,401865,459938,472952,480284,518874,495978,529572,611192,800297,698590,672385,712337,646370,642981,745403,777711,720086
'29,Organic chemicals,206281,108849,117939,119603,130642,130143,137396,149212,119314,163403,194624,239007,215324,236245,253882,341562,241850,702391,659896
'73,Articles of iron or steel,290197,317769,391171,487020,575191,607959,721967,826989,696785,808999,793389,897585,848985,748796,610212,631371,602734,670173,642318
'78,Lead and articles thereof,197553,219668,225529,345346,438277,477962,938622,971688,680838,762331,995729,964160,911058,713553,818935,848269,943112,819766,611229
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,182666,191052,232608,281035,258002,269687,378969,568899,419891,523640,725656,645039,721233,680235,565427,591469,621298,597985,552963
'41,Raw hides and skins (other than furskins) and leather,695424,682277,743142,829582,769490,805652,925693,868221,599726,911510,1122515,1064447,1204655,1158432,986934,755038,751749,675773,508584
'23,Residues and waste from the food industries; prepared animal fodder,270435,294122,356578,395328,356596,378022,401283,479612,452954,515102,553430,576109,626076,582142,477114,454924,474272,531843,463129
'38,Miscellaneous chemical products,187268,214796,223187,252887,276838,292301,353960,372684,337694,393458,498577,487622,397240,360910,357672,364759,388993,389828,356335
'95,"Toys, games and sports requisites; parts and accessories thereof",129455,177315,248671,327722,388816,336819,349718,284771,224087,240892,268239,236661,223687,238687,262828,301582,301569,315043,341375
'89,"Ships, boats and floating structures",220514,340782,367278,165236,322363,214695,294648,262624,275329,226165,265794,284023,273571,510203,327409,177079,238037,509732,329040
'05,"Products of animal origin, not elsewhere specified or included",64062,70357,74741,99708,102318,79507,65016,69560,76290,77411,98099,126400,125964,157287,215149,207756,253773,320130,280674
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",65508,80990,90780,101285,117301,120312,152548,184294,171581,189781,184751,174217,155533,158278,162671,186195,213370,253252,257301
'40,Rubber and articles thereof,99736,90795,103766,124247,139238,147044,214989,246754,172586,192491,235084,252805,227247,210342,202510,200559,241040,252287,251892
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",120240,161400,154617,164065,180686,182546,202160,207778,190068,220181,217112,219534,243643,213019,227056,201655,219326,235637,242589
'18,Cocoa and cocoa preparations,104155,122436,148456,171920,144997,116344,160283,170596,180058,193400,207752,184041,175848,193205,171896,191273,189611,201499,225610
'35,Albuminoidal substances; modified starches; glues; enzymes,93129,110990,143549,147114,154013,206631,253017,313689,241104,279634,267164,283940,295100,268404,179899,184165,174112,193551,220565
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",145563,161200,192912,213752,209524,217327,257565,252528,222925,267584,276225,243387,235854,208808,189871,205057,213741,198645,199669
