Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",336055,404070,455077,649375,831199,1084910,1161140,1055507,812008,1015000,1032822,1082855,1277045,1290617,1231084,1157188,1139026,1027833,1047011
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,616612,880759,1339842,1567891,1486877,1396075,1936330,2992013,1471126,1661417,2590134,2538768,1845074,1584456,1625993,1250936,1440717,1402711,1029071
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",348202,391881,466808,626123,923209,1203856,1530781,2065177,1641849,1466653,1696220,1613391,1532527,1525607,1351067,1300785,1178010,1024384,1028737
'90,"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ...",470115,404006,356693,430345,525595,652945,730160,818693,684113,820636,955080,922587,904840,915516,847898,849240,921543,1000501,1026406
'38,Miscellaneous chemical products,324047,373032,386545,476454,521840,599894,754567,892501,705057,925626,1113589,1067816,1002818,984411,843010,802597,907229,946250,972628
'08,Edible fruit and nuts; peel of citrus fruit or melons,350284,373683,507571,597903,681071,700019,915364,965617,821336,875201,898641,854554,837090,791272,827281,800749,875761,899808,946782
'74,Copper and articles thereof,117289,173075,150431,279327,425223,970772,1067783,1004677,599239,666721,934483,709597,1042986,750878,1054203,910142,735677,855802,943373
'76,Aluminium and articles thereof,1166250,1263866,1503069,1869249,1938409,2788554,3015012,2772227,1686849,1766309,1758788,1484087,1251459,1182259,1053474,990180,974459,883897,781991
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",509806,561916,704680,1005502,1078142,1052194,1151441,1131029,828426,882663,911742,1063783,792008,894398,697797,677508,714781,770926,759869
'33,"Essential oils and resinoids; perfumery, cosmetic or toilet preparations",171749,217143,277447,318029,379634,462522,524226,618756,564574,704369,823013,776268,697604,728914,705909,743296,864292,874024,743672
'05,"Products of animal origin, not elsewhere specified or included",82725,95882,129310,150246,173071,188061,273263,380440,391118,449771,516664,575664,639037,647195,446825,417616,551000,626278,629587
