Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'18,Cocoa and cocoa preparations,61155,75459,100315,143507,184460,218830,289863,346339,291092,256382,327029,558582,669178,652654,431103,483775,553664,640488,725515
'21,Miscellaneous edible preparations,59786,64930,114056,162499,229894,259794,348820,441582,367546,240246,285892,482645,611706,606375,485959,505636,624854,672330,699638
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",43014,50667,87854,132448,169987,218385,315802,383483,288602,187552,225823,434216,577115,623218,498467,518583,557677,579192,687951
'94,"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ...",124780,118858,172254,253474,299494,378926,474980,471257,351425,293153,263830,449309,467998,464011,377304,409657,494236,567507,666335
'22,"Beverages, spirits and vinegar",75209,110567,141719,143086,210883,299913,388765,459855,341118,287094,346974,532038,584576,552170,417036,453844,498907,555242,615246
'02,Meat and edible meat offal,3791,2518,1772,1841,4621,6677,5996,17142,21741,26965,25227,60181,86132,104770,115170,218576,323689,407175,591289
'49,"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ...",313641,306486,289648,332824,321346,355429,419400,396250,341936,281730,278072,281211,469192,432532,533393,282874,491615,515198,550822
'24,Tobacco and manufactured tobacco substitutes,45088,68313,110190,120973,222311,243814,306467,430370,467512,332212,418202,674025,735159,816302,750310,685890,616166,519138,535190
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",76422,82777,106788,164171,216530,292372,367808,362231,274494,211741,287356,458226,491295,425700,341638,347788,427072,526593,532733
'17,Sugars and sugar confectionery,65153,78524,61971,78797,80312,124641,194333,137489,135726,97568,194295,278307,274804,260863,171729,244901,489550,414607,512280
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",94748,100253,145492,214543,275852,344068,430435,523751,376539,275268,280483,448870,499598,448205,391552,405193,736661,508119,490466
'89,"Ships, boats and floating structures",508952,446896,349361,481104,564978,1059923,944504,1327746,625423,2285905,1609491,2219183,2300836,824156,537666,634553,951710,723846,481835
'07,Edible vegetables and certain roots and tubers,19893,27306,37504,51303,54412,68439,63867,76826,108645,63184,246940,340022,248813,246280,376995,478791,494579,406614,468869
'32,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ...",89413,63975,114486,90043,95858,117822,157159,160219,125878,131494,155973,213861,212257,199733,250669,238726,303804,316808,349527
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",12733,14524,24503,35085,60484,72256,82911,100069,87625,45797,58579,172710,243699,267699,226820,223578,258541,296605,341467
'11,Products of the milling industry; malt; starches; inulin; wheat gluten,41569,23651,60330,42493,55310,81136,168784,276189,188876,84547,318057,157829,164551,182754,253062,242966,228544,262158,328147
'69,Ceramic products,61796,59681,79257,98905,125192,163886,212015,201641,174198,145239,135987,289309,257665,268725,209106,236391,283133,310423,322979
'96,Miscellaneous manufactured articles,3273,5760,17348,7050,11924,9026,11784,9985,38081,223451,8601,141667,192416,257047,225675,234666,424335,296948,306722
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",79373,61443,74654,99390,131692,177176,244545,294909,225865,106842,119834,297126,325178,316643,216278,224769,259569,252416,272594
'64,"Footwear, gaiters and the like; parts of such articles",21709,19775,24356,26843,27002,29031,31779,30079,28325,25555,32157,103212,148891,220775,151506,174911,183417,231459,270133
'62,"Articles of apparel and clothing accessories, not knitted or crocheted",153035,144069,133508,116391,121196,93474,108784,84942,66753,63984,79458,127328,164781,211486,149883,149120,198240,201793,236441
'61,"Articles of apparel and clothing accessories, knitted or crocheted",48942,63059,57028,47137,37377,19019,17383,17357,17659,18249,21774,76887,117989,147902,111971,120098,161078,173354,215963
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",366228,113849,111589,130175,158981,167167,210968,230023,148961,132903,219001,396342,252288,220752,161700,168184,213479,204200,197168
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",73800,55620,46956,63317,110262,113540,146590,193539,142063,77704,85164,182802,207488,177445,119618,132342,168308,182248,194508
'95,"Toys, games and sports requisites; parts and accessories thereof",10257,11379,16696,19170,32361,52380,50187,79181,58365,69725,88835,102256,107462,125800,100805,103713,137250,164578,193038
'83,Miscellaneous articles of base metal,44087,35406,46257,49278,81421,134365,146000,145597,86837,68878,62776,124221,162306,138425,130289,144125,166381,176116,189672
'09,"Coffee, tea, maté and spices",7815,6721,12290,28942,41451,56774,78287,100034,86254,74487,85446,135721,161141,144476,123933,141092,157645,161124,171005
'78,Lead and articles thereof,4797,2594,2388,15128,11634,53849,163234,150765,142569,185200,205412,200467,195894,188818,172413,231217,275932,240243,166672
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",12372,16414,27516,28879,30390,38762,43265,56188,68338,58252,70052,98398,110035,117645,107147,123275,141366,160397,161838
'08,Edible fruit and nuts; peel of citrus fruit or melons,42275,32778,65197,89107,66027,104036,83846,66520,55129,21752,51818,107493,82516,87205,81175,76962,103299,111018,118752
'05,"Products of animal origin, not elsewhere specified or included",12683,7372,9670,10810,16224,21661,21395,23350,18033,21878,35557,47655,79267,71954,66892,74362,88057,100853,116852
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,35626,41307,39463,46124,47536,40730,52896,62121,43309,37560,39876,58342,69140,79497,62226,68084,84287,92065,115443
'36,Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations,58714,50005,59025,63075,53983,93771,74522,87259,75246,49962,72081,137466,134931,140058,150379,106904,148550,130208,112795
'41,Raw hides and skins (other than furskins) and leather,123776,131444,153260,156436,155002,170375,178980,185283,127379,176897,201707,233149,236220,251796,176373,152657,161090,141223,87723
'54,Man-made filaments; strip and the like of man-made textile materials,39815,38427,38623,44743,44525,41541,35148,19592,16934,29055,44869,44847,48138,51322,44086,46379,56278,68774,70061
'59,"Impregnated, coated, covered or laminated textile fabrics; textile articles of a kind suitable ...",27018,51376,26530,35915,42510,41239,50508,49047,41745,28385,35412,62257,57125,62427,45743,51086,54257,64335,64814
'55,Man-made staple fibres,43116,46285,57697,73266,58079,63405,64227,32976,28037,19889,21440,48728,53559,58984,36513,42757,64967,63141,58571
'52,Cotton,138666,133142,147460,158014,133251,122872,104321,74546,44743,45183,48437,60414,62191,59420,41906,49247,63405,53513,57249
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",20601,14623,26656,36839,49245,42731,45656,33783,27240,26018,29511,24026,36127,46122,35147,42061,46026,51894,54850
'35,Albuminoidal substances; modified starches; glues; enzymes,57153,44867,41039,48926,36485,34674,30899,25831,20011,17601,13248,26700,32982,36666,27957,33047,42659,47946,51857
'43,Furskins and artificial fur; manufactures thereof,30856,40446,53468,59286,79321,113254,64876,83578,52561,55736,100033,246205,336777,118183,87160,66930,78649,61757,50500
'01,Live animals,2916,4620,8187,8072,3352,3464,2824,5679,8500,4739,6698,11549,16393,28925,20894,22645,30785,42656,49261
'60,Knitted or crocheted fabrics,381,359,919,1482,2014,2021,1709,1451,887,1253,1588,8089,8953,7607,9447,12542,13877,18422,32091
'91,Clocks and watches and parts thereof,6351,6342,7330,6912,8407,10279,8935,16264,4739,4212,6154,8195,15607,15714,12783,26653,24438,21747,31130
'79,Zinc and articles thereof,102235,93955,54246,66431,60514,219606,294708,173332,113379,162690,137158,105032,41457,106285,68617,109586,128319,95593,23469
