Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'82,"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal",189978,212823,269480,342397,397186,514856,786525,1056082,736075,1342407,1638280,3099486,2524140,1931385,1304466,1285541,1545007,1672320,1721538
'83,Miscellaneous articles of base metal,129487,143322,198493,264302,330574,597466,1014679,1409111,910539,1343623,1526695,1716870,1703993,1665127,1084780,1091629,1372121,1600119,1639116
'34,"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ...",184041,247466,313636,403425,510299,675932,913468,1172464,991724,1262803,1502576,1652466,1734974,1763478,1194725,1199568,1370282,1504445,1525990
'21,Miscellaneous edible preparations,408059,439592,591442,639319,760292,844140,1117279,1370219,1155245,1480408,1656097,1632280,1817942,1765128,1066862,1156991,1349784,1392708,1445419
'15,Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ...,471360,605887,593272,545463,708355,657884,960861,1617430,942990,1358753,1571893,1302712,1236004,1241625,1018760,1088174,1212106,1340048,1272948
'18,Cocoa and cocoa preparations,263801,406051,452027,500945,569579,609758,846707,1081578,984023,1280796,1445386,1394920,1404277,1368553,963228,971057,1048556,1179825,1248863
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",326177,432314,510154,598155,778917,983207,1186287,1458190,1197643,1377808,1516507,1553948,1600492,1605048,1051115,1074235,1181963,1286394,1232996
'76,Aluminium and articles thereof,321430,302329,369726,449268,484214,665858,934964,1342693,901556,1041058,1283661,1735377,1782398,1563226,997544,947421,1236794,1228444,1194182
'96,Miscellaneous manufactured articles,163434,134732,138518,140105,153706,209430,291642,381255,335145,519844,543482,1426705,1479346,1444853,1043525,1048566,1124762,1147565,1174129
'09,"Coffee, tea, maté and spices",253949,279323,307328,360763,409022,504448,633938,796141,795187,959167,1209986,1247346,1261774,1300100,1179189,1157725,1271928,1188242,1158117
'71,"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ...",17529,39582,67236,163313,65536,40368,64135,670407,381420,478757,132511,732281,858102,1086695,590425,438595,572429,761751,1066071
'74,Copper and articles thereof,65324,61623,79113,110832,136062,243947,376821,584344,414845,487589,748891,888564,826128,971617,432845,472925,802764,788954,1031596
'86,"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ...",146627,333081,369862,751452,807424,876756,1587881,2442364,1005804,2141494,3599548,3414029,3030669,1732717,403711,391387,579011,511074,1011907
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",144985,127030,138023,141520,146128,234302,440836,667686,555087,855386,1024896,1121013,1183285,992878,631516,614087,778308,943209,964093
'23,Residues and waste from the food industries; prepared animal fodder,211886,263856,316138,371616,471692,556315,825302,1107065,890613,952524,1108732,1209885,1405640,1284221,928538,770399,866327,946482,951487
'68,"Articles of stone, plaster, cement, asbestos, mica or similar materials",168158,199107,246549,370365,495455,585233,757306,982132,515670,772988,1020459,1302669,1340937,1210224,720509,684863,820024,1014302,935928
'69,Ceramic products,188527,234586,295406,373774,443090,587236,818319,964446,623374,921251,1208466,1447618,1521445,1339599,767201,698971,868467,973453,933037
'70,Glass and glassware,242382,280793,355813,467280,544069,699629,954191,1073577,585819,842912,1103711,1217753,1254422,1154631,697222,727803,828873,903715,908165
'19,"Preparations of cereals, flour, starch or milk; pastrycooks' products",119552,126485,169043,214115,260742,308908,437768,604273,536130,648410,792219,1002940,1228290,1283617,718125,675105,815768,953644,879639
'24,Tobacco and manufactured tobacco substitutes,739123,756358,746395,757204,890391,900034,1040853,1199334,1215171,1207207,1300297,1295202,1330142,1214035,1091079,1158338,937910,975588,874773
'63,Other made-up textile articles; sets; worn clothing and worn textile articles; rags,108585,152873,188209,229259,251079,387523,536301,698644,542990,719781,902619,1270677,1092722,922643,655189,643439,731414,809785,824905
'25,"Salt; sulphur; earths and stone; plastering materials, lime and cement",163092,187337,223210,259436,322050,459972,810640,1753337,564286,701835,1033977,1466793,1519448,1433786,846684,696317,783919,789675,732269
'35,Albuminoidal substances; modified starches; glues; enzymes,114624,132298,159142,185475,230373,263867,332901,437795,415559,503733,576931,624702,696098,725339,560759,583230,670116,701775,716872
'55,Man-made staple fibres,129856,147694,201320,254359,245544,314964,375803,430620,404979,574096,751228,847044,754403,650991,452180,483371,553301,628464,616882
'44,Wood and articles of wood; wood charcoal,140039,176925,242493,304315,377586,501740,745179,991218,652702,860842,1087167,1450094,1653171,1323913,691872,601921,657996,707265,616044
'06,"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage",75460,94593,112191,185542,246577,364527,649733,754008,662606,758596,919355,988438,960763,850405,698270,577756,567911,599095,562779
'52,Cotton,423411,299073,319985,378017,373842,393937,448457,522858,410797,464459,661242,597246,563084,509295,405919,467111,522577,592129,552200
'16,"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates",139118,132959,131374,142584,187964,219364,274436,362876,287868,319338,438042,633320,715468,695793,344444,368400,480208,568565,524352
'54,Man-made filaments; strip and the like of man-made textile materials,133720,73945,109351,132923,153159,193883,288262,336146,280767,383022,469303,547174,548796,565101,391724,371281,416271,514599,512566
'56,"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof",112497,105256,140112,157065,179353,231656,320064,411700,261721,334484,398384,478829,546916,585200,387207,425236,442765,465961,493877
