Code,Product label,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
'04,"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ...",1764176,1725264,2750089,2985959,3121768,3273800,3635729,4159516,3577066,3787554,3948457,3885404,4375904,4519098,3829942,3501563,3910792,4244542,3947138
'20,"Preparations of vegetables, fruit, nuts or other parts of plants",1340222,1580618,1993565,2267542,2397333,2832649,3261755,3666349,2984540,3081889,3755302,3448715,3702800,3746418,3470855,3408520,3660944,3912691,3943162
'21,Miscellaneous edible preparations,1152418,1301703,1599904,1889860,1995786,2079977,2832511,3208576,3108281,3069458,3553747,3486780,3641191,3919231,3915188,3907143,3830388,4142006,3937862
'42,"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ...",1499156,1584795,1729920,2041291,2241932,2462407,3000508,3229590,2698528,2979040,3343749,3223362,3434149,3797251,3649009,3479079,3540098,3813063,3779974
'97,"Works of art, collectors' pieces and antiques",3026678,3549271,3008300,3650817,3781266,4880417,6900178,5792736,3856870,5460407,7931944,7840652,5757428,5865120,6310123,3787805,2869000,3312062,3156702
'23,Residues and waste from the food industries; prepared animal fodder,1147836,1122805,1500812,1671118,1655144,1882722,2166230,2627615,2435987,2640215,2714189,2738867,3244757,3334617,2905550,2673358,2766659,3118551,3080624
'03,"Fish and crustaceans, molluscs and other aquatic invertebrates",1330592,1397692,1562131,1799171,2154373,2538733,2751161,2659345,2226278,2259326,2665202,2489546,2660490,2903919,2568939,2747606,2720730,2768574,3007615
'28,"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ...",2004335,1862167,2066315,2781039,3184792,4411471,2973414,5232638,4844292,4781788,6039162,5119963,4094571,2824928,3564310,2260097,2911710,2892364,2925293
'18,Cocoa and cocoa preparations,869390,1087244,1273791,1435182,1649845,1712793,2089120,2326434,2331407,2355644,2448718,2254913,2416166,2776395,2638517,2517449,2628473,2781130,2765155
'83,Miscellaneous articles of base metal,1342315,1525106,1751835,2059542,2128324,2278544,2857823,2766323,2030407,2389614,2560445,2362154,2409978,2680366,2602952,2527976,2614177,2765034,2711386
